paper,concept,relevance
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,rf-plasma hydrogenation,0.97
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,nanocavities,0.95
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,hydrogen implantation,0.93
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,transmission electron microscopy,0.91
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,planar defects,0.9
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,subsurface defects,0.88
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,thermal annealing,0.87
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,si wafers,0.86
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,coalescence,0.84
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,nanocavity coalescence,0.83
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,in situ heating,0.82
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,semiconductor wafers,0.8
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,helium implantation,0.78
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,structural defects,0.77
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,furnace thermal treatment,0.75
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,crack formation,0.74
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,defect healing,0.72
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,light element implantation,0.7
Annealing of hydrogen-induced defects in RF-plasma-treated Si wafers: ex situ and in situ transmission electron microscopy studies,tem microstructural analysis,0.68
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,transmission electron microscopy,1.0
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,scanning transmission electron microscopy,1.0
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,electronic defect identification,1.0
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,stem spectroscopy,0.95
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,defect analysis,0.93
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,structural characterization,0.85
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,chemical analysis,0.82
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,tem,0.8
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,stem,0.8
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,electron spectroscopy,0.78
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,point defects,0.75
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,electron diffraction,0.72
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,energy dispersive x-ray,0.7
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,electron energy loss spectroscopy,0.7
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,atomic resolution imaging,0.68
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,crystal defects,0.67
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,high-angle annular dark-field,0.65
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,z-contrast imaging,0.62
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,dislocation analysis,0.6
Role of Electron Microscopy in Semiconductor Electronic Defects Analysis,nanoscale characterization,0.58
Transmission electron microscopy of interfaces in III–V compound semiconductors,transmission electron microscopy,1.0
Transmission electron microscopy of interfaces in III–V compound semiconductors,iii-v compound semiconductors,0.95
Transmission electron microscopy of interfaces in III–V compound semiconductors,interface roughness,0.93
Transmission electron microscopy of interfaces in III–V compound semiconductors,molecular beam epitaxy,0.91
Transmission electron microscopy of interfaces in III–V compound semiconductors,interface superlattices,0.9
Transmission electron microscopy of interfaces in III–V compound semiconductors,gaas,0.89
Transmission electron microscopy of interfaces in III–V compound semiconductors,alas,0.89
Transmission electron microscopy of interfaces in III–V compound semiconductors,high-resolution dark-field tem,0.87
Transmission electron microscopy of interfaces in III–V compound semiconductors,lattice imaging,0.85
Transmission electron microscopy of interfaces in III–V compound semiconductors,interface diffusion,0.84
Transmission electron microscopy of interfaces in III–V compound semiconductors,interdiffusion,0.83
Transmission electron microscopy of interfaces in III–V compound semiconductors,lattice mismatched interfaces,0.8
Transmission electron microscopy of interfaces in III–V compound semiconductors,diffusion profiles,0.78
Transmission electron microscopy of interfaces in III–V compound semiconductors,diffusion length,0.76
Transmission electron microscopy of interfaces in III–V compound semiconductors,ultrathin films,0.74
Transmission electron microscopy of interfaces in III–V compound semiconductors,diffraction contrast,0.72
Transmission electron microscopy of interfaces in III–V compound semiconductors,atomic scale analysis,0.7
Transmission electron microscopy of interfaces in III–V compound semiconductors,semiconductor heterostructures,0.68
Transmission electron microscopy of interfaces in III–V compound semiconductors,electron beam diffraction,0.65
Transmission electron microscopy of interfaces in III–V compound semiconductors,superlattice fabrication,0.63
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,conservative ripening,0.98
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,platelets,0.97
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,cavities,0.96
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,proton implantation,0.95
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,thermal annealing,0.92
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,hydrogen,0.91
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,silicon,0.9
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,transmission electron microscopy,0.89
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,extended defects,0.88
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,exfoliation mechanism,0.87
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,platelet density,0.86
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,thin film transfer,0.85
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,hydrogen transfer,0.84
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,elastic energy,0.82
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,implanted layer,0.8
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,strain localization,0.79
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,projected range,0.78
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,defect volume,0.75
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,annealing conditions,0.74
A transmission electron microscopy quantitative study of the growth kinetics of H platelets in Si,statistical methods,0.72
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,black phosphorus,1.0
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,vacancy defects,1.0
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,di-vacancies,0.95
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,vacancy lines,0.93
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,vacancy clusters,0.92
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,transmission electron microscopy,0.9
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,defect migration,0.9
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,bp monolayer,0.9
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,in situ hrtem,0.88
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,5-8-5 di-vacancy,0.88
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,migration barriers,0.87
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,2d materials,0.85
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,ab initio calculations,0.85
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,electronic structure modification,0.85
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,bandgap reduction,0.83
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,5-7-7-5 di-vacancy,0.82
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,defect engineering,0.82
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,zigzag pattern,0.8
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,electron-beam irradiation,0.78
In situ transmission electron microscopy study of the formation and migration of vacancy defects in atomically thin black phosphorus,armchair pattern,0.72
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,cubic boron nitride,1.0
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,cbn crystallites,0.97
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,paramagnetic point defects,0.95
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,electron spin resonance,0.93
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,borazon cbn400,0.9
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,borazon cbn500,0.9
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,borazon cbn1000,0.9
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,impurity atoms,0.88
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,super abrasive powders,0.85
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,oxygen impurity,0.85
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,carbon impurity,0.85
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,silicon impurity,0.85
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,nuclear spin isotopes,0.82
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,cathodoluminescence,0.8
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,photoluminescence,0.8
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,cbn lattice defects,0.78
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,impurity aggregates,0.75
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,nuclear moments,0.73
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,opto-active impurities,0.7
Structure of defects in semiconductor crystalline cubic boron nitride. A microstructural and micro analytical investigation,electro-active impurities,0.7
Defects and defect reduction processing in semiconductor heterostructures,strained layer superlattices,1.0
Defects and defect reduction processing in semiconductor heterostructures,threading dislocations,1.0
Defects and defect reduction processing in semiconductor heterostructures,gaas on si,0.97
Defects and defect reduction processing in semiconductor heterostructures,misfit dislocations,0.95
Defects and defect reduction processing in semiconductor heterostructures,heterostructure,0.93
Defects and defect reduction processing in semiconductor heterostructures,dislocation density,0.93
Defects and defect reduction processing in semiconductor heterostructures,epilayer,0.88
Defects and defect reduction processing in semiconductor heterostructures,heterointerface,0.85
Defects and defect reduction processing in semiconductor heterostructures,rapid thermal annealing,0.85
Defects and defect reduction processing in semiconductor heterostructures,transmission electron microscopy,0.82
Defects and defect reduction processing in semiconductor heterostructures,defect density,0.8
Defects and defect reduction processing in semiconductor heterostructures,semiconductor heterostructures,0.78
Defects and defect reduction processing in semiconductor heterostructures,60° misfit dislocations,0.75
Defects and defect reduction processing in semiconductor heterostructures,90° misfit dislocations,0.75
Defects and defect reduction processing in semiconductor heterostructures,superlattice period,0.72
Defects and defect reduction processing in semiconductor heterostructures,dislocation density reduction,0.7
Defects and defect reduction processing in semiconductor heterostructures,gaas epilayer,0.68
Defects and defect reduction processing in semiconductor heterostructures,defect formation mechanism,0.65
Defects and defect reduction processing in semiconductor heterostructures,strained layers,0.63
Defects and defect reduction processing in semiconductor heterostructures,dislocations,0.6
Structure and bonding at the atomic scale by scanning transmission electron microscopy,electron microscopy,1.0
Structure and bonding at the atomic scale by scanning transmission electron microscopy,electron optics,0.95
Structure and bonding at the atomic scale by scanning transmission electron microscopy,atomic resolution,0.93
Structure and bonding at the atomic scale by scanning transmission electron microscopy,buried interface states,0.92
Structure and bonding at the atomic scale by scanning transmission electron microscopy,interfacial superconductors,0.9
Structure and bonding at the atomic scale by scanning transmission electron microscopy,spectroscopy,0.88
Structure and bonding at the atomic scale by scanning transmission electron microscopy,nanostructures,0.87
Structure and bonding at the atomic scale by scanning transmission electron microscopy,dissimilar materials,0.82
Structure and bonding at the atomic scale by scanning transmission electron microscopy,nanoscale structures,0.81
Structure and bonding at the atomic scale by scanning transmission electron microscopy,electronic properties,0.8
Structure and bonding at the atomic scale by scanning transmission electron microscopy,bulk materials,0.75
Structure and bonding at the atomic scale by scanning transmission electron microscopy,atomic scale,0.74
Structure and bonding at the atomic scale by scanning transmission electron microscopy,transistors,0.7
Structure and bonding at the atomic scale by scanning transmission electron microscopy,turbine blades,0.65
Structure and bonding at the atomic scale by scanning transmission electron microscopy,imaging,0.63
Structure and bonding at the atomic scale by scanning transmission electron microscopy,interface states,0.62
Structure and bonding at the atomic scale by scanning transmission electron microscopy,physical properties,0.6
Structure and bonding at the atomic scale by scanning transmission electron microscopy,microscopic properties,0.58
Structure and bonding at the atomic scale by scanning transmission electron microscopy,superconductors,0.55
Structure and bonding at the atomic scale by scanning transmission electron microscopy,electron optics advances,0.52
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,nanopipes,1.0
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,gan films,0.95
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,organometallic vapor phase epitaxy,0.95
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,screw dislocations,0.93
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,open-core dislocation,0.92
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,α-gan,0.9
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,high-resolution transmission electron microscopy,0.88
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,tunnel-like defects,0.88
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,frank's theory,0.87
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,scanning force microscopy,0.85
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,hexagonal growth hillocks,0.85
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,spiral steps,0.82
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,dislocation core,0.82
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,epilayer,0.8
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,monolayer-height steps,0.78
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,epitaxial growth,0.78
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,surface craters,0.75
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,crystal growth direction,0.72
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,structural defects,0.7
Open‐core screw dislocations in GaN epilayers observed by scanning force microscopy and high‐resolution transmission electron microscopy,structural investigations,0.6
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,aluminum nitride,1.0
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,inversion domain boundaries,1.0
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,band gap reduction,1.0
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,crystal defects,0.95
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,aberration-corrected transmission electron microscopy,0.95
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,valence electron energy-loss spectroscopy,0.95
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,pulsed laser deposition,0.9
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,first-principles calculations,0.9
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,aln thin films,0.9
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,epitaxial growth,0.85
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,al2o3 substrates,0.85
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,valence band maximum,0.85
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,band gap determination,0.85
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,atomic structure,0.8
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,pz orbital,0.8
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,al–n bonds,0.8
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,semiconductor materials,0.75
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,atomic-resolution spectroscopy,0.75
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,bulk aln,0.75
Direct Determination of Band Gap of Defects in a Wide Band Gap Semiconductor,single-crystal substrate,0.7
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,gan,0.95
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,ingan,0.95
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,3d nanostructures,0.92
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,movpe,0.9
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,metal organic vapour phase epitaxy,0.9
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,transmission electron microscopy,0.88
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,scanning electron microscopy,0.88
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,patterned substrates,0.85
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,gan/sapphire,0.84
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,multiple quantum wells,0.83
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,non-polar facets,0.82
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,nanostructure morphology,0.8
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,defect density,0.78
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,surface morphology,0.75
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,nucleation,0.74
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,ordered arrays,0.72
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,growth rates,0.7
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,adjacent facets,0.68
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,epitaxial growth,0.65
Characterisation of 3D-GaN/InGaN core-shell nanostructures by transmission electron microscopy,sapphire substrate,0.62
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,elastic strain engineering,0.95
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,transmission electron microscope,0.95
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,strain measurement,0.92
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,strain contrast,0.9
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,strain quantification,0.9
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,in situ mechanical testing,0.88
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,nanostructures,0.85
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,semiconductor devices,0.85
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,holographic techniques,0.83
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,diffraction techniques,0.82
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,strain contrast mechanisms,0.82
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,tem imaging,0.8
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,intrinsic strain,0.8
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,crystalline samples,0.78
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,applied strain,0.78
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,microstructure characterization,0.76
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,spatial resolution,0.75
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,deformation imaging,0.74
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,displacement measurement,0.72
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,actuation device,0.7
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",cu2znsns4,1.0
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",composition inhomogeneity,0.95
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",point defect chemistry,0.92
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",antisite defects,0.9
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",zncu antisite donors,0.9
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",atom column chemical analysis,0.88
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",cation disorder,0.87
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",zn enrichment,0.85
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",cu depletion,0.85
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",photoluminescence,0.83
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",donor-acceptor transition,0.82
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",carrier separation efficiency,0.82
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",band bending,0.8
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",minority carrier diffusion,0.8
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",potential wells,0.78
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",carrier lifetime,0.78
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",space charge region,0.77
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",electrostatic potential,0.75
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",conduction band,0.73
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",valence band,0.73
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,differential phase contrast,1.0
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,aberration-corrected stem,1.0
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,scanning transmission electron microscopy,0.97
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,segmented-type stem detectors,0.95
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,electromagnetic field imaging,0.93
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,atomic electric field,0.91
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,sub-angstrom spatial resolution,0.88
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,p-n junction,0.85
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,local electric field,0.84
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,magnetic skyrmions,0.82
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,magnetic domain imaging,0.81
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,gaas semiconductor,0.79
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,electron probe,0.76
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,nanointerface,0.74
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,charge redistribution,0.73
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,chemical bonding,0.71
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,dark-field stem,0.68
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,bright-field stem,0.67
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,real-space electromagnetic imaging,0.65
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,atomic nucleus electron cloud,0.63
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,aberration correctors,0.95
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,scanning transmission electron microscopy,0.95
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,electron energy-loss spectroscopy,0.93
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,single dopant atoms,0.91
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,hfo2 layer,0.9
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,sio2 thin film,0.89
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,gate dielectric interface,0.88
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,hf atoms,0.87
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,semiconductor defect structures,0.85
