concept,doc_frequency,mds:studyStage,mds:supplyChainLevel
parasitic absorption,1,mds:result,"mds:subcomponent, mds:component"
particle scale,1,mds:recipe,mds:materials
particle size,1,mds:result,mds:materials
particle synthesis technology,1,mds:synthesis,mds:materials
paste adhesion,1,mds:result,"mds:materials, mds:subcomponent"
paste characterisation,1,mds:tool,mds:materials
paste conductivity,1,mds:result,"mds:materials, mds:subcomponent"
paste curing temperature,1,mds:recipe,"mds:materials, mds:subcomponent"
paste-screen interaction,1,mds:materials processing,"mds:materials, mds:subcomponent"
paste-wire interface,1,mds:sample,mds:subcomponent
patterning approach,1,mds:materials processing,"mds:subcomponent, mds:component"
performance comparison,1,mds:analysis,"mds:component, mds:subsystem, mds:system"
perovskite composition,1,mds:formulation,"mds:materials, mds:subcomponent"
photonic sintering,1,mds:materials processing,mds:subcomponent
photovoltaic application,1,mds:results and metadata,"mds:component, mds:subsystem, mds:system"
photovoltaic production,1,mds:materials processing,"mds:component, mds:subsystem, mds:system"
plating current distribution,1,mds:result,mds:subcomponent
plating process type,1,mds:synthesis,mds:subcomponent
plating selectivity mechanism,1,mds:analysis,mds:subcomponent
plating uniformity,1,mds:result,mds:subcomponent
post-processing method,1,mds:materials processing,"mds:subcomponent, mds:component"
precursor compound,1,mds:formulation,mds:materials
pressing process,1,mds:materials processing,"mds:subcomponent, mds:component"
pretreatment reagent,1,mds:formulation,"mds:materials, mds:subcomponent"
printability,1,mds:result,"mds:materials, mds:subcomponent"
printed electronics substrate,1,mds:sample,mds:subcomponent
printing method,1,mds:materials processing,"mds:subcomponent, mds:component"
printing method comparison,1,mds:analysis,"mds:subcomponent, mds:component"
printing parameters,1,mds:recipe,mds:subcomponent
printing pass count,1,mds:recipe,mds:subcomponent
printing platform,1,mds:tool,"mds:subcomponent, mds:component"
printing process mechanics,1,mds:materials processing,mds:subcomponent
printing speed,1,mds:recipe,mds:subcomponent
printing technique,1,mds:materials processing,"mds:subcomponent, mds:component"
printing technology,1,mds:materials processing,"mds:subcomponent, mds:component"
process atmosphere,1,mds:recipe,"mds:materials, mds:subcomponent"
process challenge,1,mds:results and metadata,"mds:subcomponent, mds:component, mds:assembly"
process compatibility,1,mds:analysis,"mds:subcomponent, mds:component"
process cost,1,mds:results and metadata,"mds:component, mds:subsystem, mds:system"
process feasibility,1,mds:analysis,"mds:subcomponent, mds:component"
process improvement,1,mds:results and metadata,"mds:subcomponent, mds:component"
process innovation,1,mds:results and metadata,"mds:subcomponent, mds:component, mds:system"
process parameter,1,mds:recipe,"mds:materials, mds:subcomponent"
process parameter optimisation,1,mds:analysis,"mds:subcomponent, mds:component"
process reproducibility,1,mds:results and metadata,"mds:subcomponent, mds:component"
process requirement,1,mds:recipe,"mds:subcomponent, mds:component"
process sequence,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
process speed,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
process temperature,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
process uniformity,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
process window,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
processing duration,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
processing technique,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
processing tool,1,"mds:t, mds:o, mds:o, mds:l",mds:subcomponent
product certification,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
product cost reduction,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:subsystem, mds:system"
production cost reduction,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:subsystem, mds:system"
production throughput,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:subsystem, mds:system"
productivity improvement,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:subsystem, mds:system"
pulse amplitude,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
pulse frequency,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
pv expansion,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
pv research focus,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
rear contact efficiency loss,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:component
rear contact metallization,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
rear transparent conductive oxide,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:subcomponent
reducing agent,1,"mds:f, mds:o, mds:r, mds:m, mds:u, mds:l, mds:a, mds:t, mds:i, mds:o, mds:n",mds:materials
reference adhesion strength,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
reference architecture,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:component
reference cell technology,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:component
reference conductivity,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
reference device efficiency,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:component
reference metallization material,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
reference metallization method,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
reliability testing,1,"mds:t, mds:o, mds:o, mds:l","mds:component, mds:subsystem"
replaced metal,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
reported cell efficiency,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:component
resistance component analysis,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s",mds:component
resistivity metric,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
resource availability,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:materials, mds:system"
review scope,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
scalability,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:subsystem, mds:system"
screen opening width,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
screen optimization,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
screen technology,1,"mds:t, mds:o, mds:o, mds:l",mds:subcomponent
screen wire interaction,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s",mds:subcomponent
seed layer,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:subcomponent
seed layer deposition method,1,"mds:s, mds:y, mds:n, mds:t, mds:h, mds:e, mds:s, mds:i, mds:s",mds:subcomponent
seed layer deposition technique,1,"mds:s, mds:y, mds:n, mds:t, mds:h, mds:e, mds:s, mds:i, mds:s",mds:subcomponent
seed layer elimination,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
selective metallization,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:subcomponent, mds:component"
semiconductor polarity,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:materials, mds:subcomponent"
silver content,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:materials, mds:subcomponent"
silver reduction,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:materials, mds:subcomponent"
sintering additive,1,"mds:f, mds:o, mds:r, mds:m, mds:u, mds:l, mds:a, mds:t, mds:i, mds:o, mds:n",mds:materials
sintering atmosphere,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
sintering duration,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
sintering energy source,1,"mds:t, mds:o, mds:o, mds:l","mds:materials, mds:subcomponent"
sintering product state,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:materials, mds:subcomponent"
sintering temperature,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
solar cell cost reduction,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:component, mds:subsystem, mds:system"
solar cell type,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:component
solar industry growth,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
structuring method,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:subcomponent, mds:component"
substrate cost,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:materials, mds:subcomponent"
substrate damage,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:materials, mds:subcomponent"
substrate flexibility,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:materials, mds:subcomponent"
substrate rigidity,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:materials, mds:subcomponent"
substrate scalability,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:materials, mds:subcomponent"
substrate surface,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
substrate temperature,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
substrate type,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
supply forecast horizon,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:materials, mds:system"
surface modification,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:materials, mds:subcomponent"
surface pretreatment,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:materials, mds:subcomponent"
synergetic mechanism,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s","mds:materials, mds:subcomponent, mds:component"
tandem cell configuration,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:component, mds:assembly"
target material,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:materials
technique comparison,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s","mds:materials, mds:subcomponent, mds:component"
technology readiness,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:component, mds:subsystem, mds:system"
technology timeline,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:component, mds:subsystem, mds:system"
thermal cycling test,1,"mds:t, mds:o, mds:o, mds:l","mds:component, mds:assembly, mds:subsystem"
thermal stress management,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s","mds:subcomponent, mds:component, mds:assembly"
thermal stress test,1,"mds:t, mds:o, mds:o, mds:l","mds:component, mds:assembly, mds:subsystem"
tool durability,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:subcomponent, mds:component"
trade-off analysis,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s","mds:materials, mds:subcomponent, mds:component, mds:assembly, mds:subsystem, mds:system"
transition layer composition,1,mds:result,mds:subcomponent
treated contact resistivity,1,mds:result,mds:subcomponent
trench circumference ratio,1,mds:result,mds:subcomponent
trench geometry,1,mds:recipe,mds:subcomponent
untreated reference,1,mds:sample,mds:component
wafer thickness,1,mds:result,mds:materials
work of adhesion,1,mds:result,mds:subcomponent
