paper,doi,canonical,paper_term,relevance
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,silver consumption,4.5 mg W⁻¹ Ag usage,0.9
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,contact resistivity,comparably low resistivity,0.85
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,reliability test,"damp heat (85 °C, 85% relative humidity) for 1000 h",0.84
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,thermal stress test,thermal stress (200 °C) for 1000 h,0.83
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,impurity diffusion,Cu in-diffusion,0.82
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,device stability,stable solar cells (no Cu in-diffusion observed),0.81
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,finger metallization,Cu paste printed fingers,0.8
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,busbar metallization,Cu paste busbars,0.79
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,reference metallization,Ag paste printed cells,0.75
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,cost reduction,reducing Ag utilization and cost,0.74
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,industrial scalability,industrial equipment compatibility,0.72
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,metal paste formulation,screen printable Cu paste,0.7
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,test temperature,85 °C (damp heat),0.65
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,relative humidity,85% relative humidity,0.64
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,stress duration,1000 h,0.63
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,cell contact type,back contact metallization,0.62
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,material substitution strategy,replacing Ag with Cu,0.6
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,solar industry limitation,high Ag usage limiting solar industry growth,0.57
Thermal Stable High-Efficiency Copper Screen Printed Back Contact Solar Cells,10.1002/solr.202200874,conversion efficiency metric,conversion efficiency,0.55
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,front contact material,fire-through copper (Cu) paste,1.0
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,cell architecture,passivated emitter rear contact (PERC),1.0
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,contact metal,copper (Cu),0.97
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,contact deposition method,screen printing,0.95
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,device efficiency,19.250%,0.95
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,anti-reflection coating,silicon nitride (SiN),0.92
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,firing peak temperature,630°C,0.9
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,absorber material,c-Si (crystalline silicon),0.88
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,open circuit voltage,Voc = 654 mV,0.88
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,contact firing process,fire-through,0.88
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,fill factor,FF = 76.68%,0.87
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,short circuit current density,Jsc = 38.40 mA/cm²,0.87
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,diffusion barrier,Cu oxide shell (~200 nm),0.85
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,contact reliability,accelerated aging / damp heat stability,0.85
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,passivation layer,passivated emitter rear contact,0.85
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,conductive oxide function,conductive oxide layer as diffusion barrier,0.83
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,particle oxide shell thickness,200 nm oxide shell,0.82
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,accelerated aging duration,"1,500 hours",0.82
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,damp heat test temperature,85°C,0.8
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,damp heat humidity,85% relative humidity,0.8
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,reference contact material,screen-printed silver (Ag),0.8
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,cell degradation mechanism,Cu–Si interdiffusion / performance degradation,0.8
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,module type,PERC mini-modules,0.78
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,paste particle morphology,Cu core with oxide shell,0.78
Exploring the performance and reliability of screen-printable fire-through copper paste on PERC solar cells,10.1109/PVSC57443.2024.10749497,microstructural characterisation,SEM imaging,0.75
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,metallization material,copper,1.0
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,metallization method,horizontal double-sided copper metallization technology,1.0
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,cell architecture,TOPCon solar cells,1.0
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,device efficiency,average efficiency above 26%,0.98
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,patterning technique,ultrashort pulse laser,0.95
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,electrode metal,copper metallization,0.95
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,carbon footprint,carbon footprint label,0.92
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,metallization configuration,double-sided (front and back) metallization,0.9
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,contact material,metallic silver,0.88
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,carbon emissions,low carbon emissions,0.88
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,cell structure,TOPCon solar cell structure,0.88
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,substrate material,silicon solar cells,0.85
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,laser pulse duration,ultrashort pulse,0.85
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,manufacturing scalability,industrial mass production,0.82
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,cell fabrication process,manufacturing process of TOPCon solar cells,0.82
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,production cost,low cost,0.8
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,batch performance,average efficiency in this batch,0.8
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,sustainability metric,low-carbon footprint products,0.78
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,process uniformity,good uniformity,0.75
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,cell side,front and back sides,0.75
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,process speed,fast speed,0.72
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,process complexity,simple process,0.7
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,cell compatibility,various types of silicon solar cells,0.7
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,process orientation,horizontal,0.65
A Horizontal Double-Sided Copper Metallization Technology Designed for Solar Cell Mass-Production,10.1002/pip.3863,market context,international photovoltaic market,0.6
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,cell metallization material,silver (Ag),1.0
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,metallization method,fine line screen printing,1.0
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,solar cell architecture,passivated emitter and rear contact (PERC) solar cells,0.95
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,screen opening width,15–24 µm screen openings,0.95
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,paste rheology,Ag-paste rheology,0.95
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,conductive paste,Ag-paste,0.95
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,material consumption,Ag-consumption,0.93
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,electrode geometry,printed Ag-electrode geometry,0.92
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,work of adhesion,work of adhesion at the paste–wire interface,0.92
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,printing speed,up to 600 mm s⁻¹,0.9
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,process reproducibility,reproducibility of the screen printing process,0.9
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,front-side metallization,front-side metallization,0.9
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,electrode height deviation,deviation of the printed electrode height,0.88
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,paste-screen interaction,paste-screen interaction at narrow line widths,0.88
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,screen wire interface,paste–wire interface,0.88
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,printed line width,narrow line widths,0.87
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,screen printing screen,screen (mesh/wire screen),0.87
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,screen optimization,advanced screen optimization,0.85
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,photovoltaic production,photovoltaic production chain,0.85
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,printing process trade-off,trade-off between reproducibility and optimized Ag-electrode geometry,0.85
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,industrial printing process,industrial printing speeds,0.83
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,cell efficiency,cell efficiency,0.82
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,material supply risk,material crisis,0.8
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,reproducibility analysis method,method for analyzing reproducibility of printed Ag-electrode geometries,0.8
The Link between Ag-Paste Rheology and Screen-Printed Solar Cell Metallization,https://doi.org/10.1002/admt.202000654,lab scale data,lab-scale data sets,0.7
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,cell technology,silicon solar cells,1.0
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,metallization method,Ni/Cu based metal plating,1.0
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,metallization method,screen printing,0.95
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,seed layer material,nickel (Ni) seed layer,0.95
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,conducting layer material,copper (Cu) conducting layer,0.93
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,plating process,light induced plating (LIP),0.92
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,contact resistance,higher contact resistance,0.88
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,aspect ratio,lower aspect ratio,0.87
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,contact formation,contact realization,0.85
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,electrode material,silver pastes,0.85
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,patterning method,masking layer opening,0.82
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,deposition technique,various deposition techniques,0.8
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,device efficiency,solar cell efficiency,0.8
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,wafer thickness,decreasing silicon wafer thicknesses,0.78
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,adhesion quality,adhesion,0.77
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,process reliability,reliability for industrial applications,0.75
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,process complexity,process complexity,0.74
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,background plating,back ground plating,0.73
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,absorber material,silicon wafer,0.72
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,material cost,mounting cost of silver pastes,0.7
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,silver consumption,lower quantity of silver usage,0.7
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,masking layer,masking layer,0.68
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,industry technology,silicon based photovoltaic industry,0.65
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,pressing process,pressing process of screen printing,0.62
Review of the Potential of the Ni/Cu Plating Technique for Crystalline Silicon Solar Cells,10.3390/ma7021318,efficiency limitation,limits solar cell efficiency,0.6
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,processing technique,photonic curing,1.0
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,absorber material,copper oxide ink,0.92
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,conductor material,copper traces,0.91
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,light source,flashlamps,0.9
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,ink formulation,low cost copper oxide ink,0.9
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,pulsed light processing,pulsed light,0.89
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,processing tool,PulseForge®,0.88
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,electrical conductivity,highly conductive,0.88
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,substrate type,plastic and paper,0.87
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,manufacturing process,roll-to-roll,0.87
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,chemical reaction method,chemically reacted using pulsed light,0.86
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,substrate temperature tolerance,low temperature substrates,0.85
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,thermal processing type,transient thin-film thermal processing,0.85
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,deposition method,printed electronics,0.84
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,processing atmosphere,ambient atmosphere,0.82
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,substrate flexibility,flexible substrates,0.8
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,application domain,photovoltaics,0.78
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,product cost reduction,dramatically reduce the cost of the final product,0.76
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,substrate cost,inexpensive substrates,0.75
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,substrate rigidity,rigid substrates,0.7
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,application domain,printed circuits,0.67
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,application domain,solid state lighting,0.65
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,application domain,thin film batteries,0.65
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,application domain,RFID tags,0.62
Photonic Curing Explanation and Application to Printing Copper Traces on Low Temperature Substrates,10.4071/isom-2011-THA4-Paper6,application domain,displays,0.62
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,sintering method,intense pulsed light (IPL) sintering,1.0
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,annealing technique,IPL annealing,0.95
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,light source,xenon lamp,0.9
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,application domain,printed electronics,0.9
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,irradiation type,pulsed white flash-light,0.88
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,target layer type,conductive layer,0.88
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,opto-thermal mechanism,opto-thermal phenomena,0.87
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,opto-chemical mechanism,opto-chemical phenomena,0.87
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,electrode application,conductive electrodes,0.86
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,processing temperature,room temperature process,0.85
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,synergetic mechanism,opto-synergetic phenomena,0.85
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,substrate material,polymer and paper,0.83
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,processing atmosphere,ambient condition,0.82
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,substrate thermal sensitivity,low temperature substrates,0.81
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,heating duration,several milliseconds,0.8
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,process scalability,low-cost manufacturing process,0.79
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,target material,target materials,0.78
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,thermal damage,without damage on the low temperature substrates,0.77
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,process duration,extremely quick heating,0.76
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,environmental impact,eco-benign,0.75
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,energy conversion mechanism,converts to desired conductive layer,0.72
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,review scope,various applications of IPL techniques,0.7
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,manufacturing approach,revolutionary manufacturing process,0.68
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,technology history,brief history of intense pulsed light technology,0.65
A Review on Intense Pulsed Light Sintering Technologies for Conductive Electrodes in Printed Electronics,10.1007/s40684-020-00193-8,research maturity,intensively studied for a decade,0.6
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,metallization material,Ag|Cu paste,1.0
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,cell architecture,PERC solar cells with transparent emitter,0.95
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,deposition method,screen-printing,0.95
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,fill factor,81% fill factor,0.95
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,total series resistance,0.2 Ω-cm²,0.92
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,sintering mechanism,liquid phase sintering of nano/macro Ag|Cu particles,0.88
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,contact additive,glass frit,0.88
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,contact resistance,low contact resistance,0.88
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,metal diffusion risk,penetration of Cu into the silicon bulk,0.87
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,reference metallization,Ag paste,0.85
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,contact firing optimization,optimization of contact firing,0.85
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,gridline resistance,gridline resistance,0.85
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,contact stability,stability study on Ag|Cu contact,0.83
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,particle morphology,"Cu particle size, morphology and loading",0.82
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,bulk metal resistivity,very low series resistance (bulk metal),0.82
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,anti-reflection coating,ARC,0.8
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,gridline geometry,narrow gridline screen designs,0.8
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,particle size,nano/macro particles of Ag|Cu,0.8
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,device reliability,high performance and reliability,0.8
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,paste formulation method,cavitation technology,0.78
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,sintering belt speed,fast belt speeds of up to 375 inches per minute (ipm),0.78
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,metallization cost,low-cost metallization,0.78
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,resistance component analysis,quantify the contributions of each resistance component,0.75
Improvement of screen-printable metallization paste for low-cost silicon solar cells utilizing silver coated copper powders,10.2172/2315628,contact adhesion,adhesion,0.72
