concept,doc_frequency,mds:studyStage,mds:supplyChainLevel
reference cell performance,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:component
reference cell technology,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:component
reference conductivity,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:materials, mds:subcomponent"
reference conductor material,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:materials
reference contact adhesion strength,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:subcomponent
reference contact material,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:materials
reference device efficiency,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:component
reference electrode material,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:materials
reference fabrication method,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:component
reference metallization material,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:materials
relative humidity,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent, mds:component"
reliability testing,1,"mds:t, mds:o, mds:o, mds:l","mds:component, mds:assembly, mds:subsystem"
reported efficiency,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:component
reproducibility analysis method,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s",mds:component
research focus area,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:materials, mds:subcomponent, mds:component"
research maturity,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a","mds:materials, mds:subcomponent, mds:component"
resistance component analysis,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s",mds:component
resource availability,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:materials
resource scarcity,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:materials
screen opening width,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
screen optimization,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s",mds:subcomponent
screen printing parameters,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
screen printing screen,1,"mds:t, mds:o, mds:o, mds:l",mds:subcomponent
screen technology,1,"mds:t, mds:o, mds:o, mds:l",mds:subcomponent
screen wire interface,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:subcomponent
secondary metal layer,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:subcomponent
seed layer,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:subcomponent
seed layer deposition,1,"mds:s, mds:y, mds:n, mds:t, mds:h, mds:e, mds:s, mds:i, mds:s",mds:subcomponent
seed layer elimination,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
selective metallization,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
semiconductor polarity,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:materials, mds:subcomponent"
semiconductor substrate,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:subcomponent
series resistance,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t",mds:component
silver reduction,1,"mds:s, mds:y, mds:n, mds:t, mds:h, mds:e, mds:s, mds:i, mds:s",mds:materials
sintering belt speed,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e",mds:subcomponent
sintering conversion,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g",mds:subcomponent
sintering duration,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
sintering energy source,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
sintering laser wavelength,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
sintering mechanism,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s","mds:materials, mds:subcomponent"
sintering outcome,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:materials, mds:subcomponent"
sintering technique,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:materials, mds:subcomponent"
sintering temperature,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
solar cell physics,1,"mds:m, mds:o, mds:d, mds:e, mds:l, mds:i, mds:n, mds:g",mds:component
solar industry limitation,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
stress duration,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:component, mds:subcomponent"
structuring method,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:subcomponent, mds:component"
substrate cost,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:materials
substrate flexibility,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
substrate rigidity,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
substrate size,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
substrate size independence,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s","mds:materials, mds:subcomponent, mds:component"
substrate temperature,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:materials, mds:subcomponent"
substrate temperature tolerance,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
substrate thermal sensitivity,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
substrate type,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
supply forecast horizon,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
surface contact layer,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:subcomponent
surface modification layer,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:subcomponent
surface pretreatment,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:materials, mds:subcomponent"
sustainability metric,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
sustainable technology,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
synergetic mechanism,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s","mds:materials, mds:subcomponent, mds:component"
tandem cell architecture,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:component
target layer type,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:subcomponent
target material,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e",mds:materials
technique comparison,1,"mds:a, mds:n, mds:a, mds:l, mds:y, mds:s, mds:i, mds:s","mds:materials, mds:subcomponent, mds:component"
technology history,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t, mds:s, mds: , mds:a, mds:n, mds:d, mds: , mds:m, mds:e, mds:t, mds:a, mds:d, mds:a, mds:t, mds:a",mds:system
temperature cycling stress,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:component, mds:subsystem"
test temperature,1,"mds:r, mds:e, mds:c, mds:i, mds:p, mds:e","mds:component, mds:subsystem"
thermal cycling test,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:component, mds:subsystem"
thermal damage,1,"mds:r, mds:e, mds:s, mds:u, mds:l, mds:t","mds:subcomponent, mds:component"
thermal management,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:component, mds:subsystem, mds:system"
thermal processing type,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:materials, mds:subcomponent"
thermal stress test,1,"mds:m, mds:a, mds:t, mds:e, mds:r, mds:i, mds:a, mds:l, mds:s, mds: , mds:p, mds:r, mds:o, mds:c, mds:e, mds:s, mds:s, mds:i, mds:n, mds:g","mds:component, mds:subsystem"
tin oxide species,1,"mds:s, mds:a, mds:m, mds:p, mds:l, mds:e","mds:materials, mds:subcomponent"
top contact electrode,1,mds:sample,mds:subcomponent
total series resistance,1,mds:result,mds:component
transition layer composition,1,mds:result,mds:subcomponent
trench circumference ratio,1,mds:result,"mds:subcomponent, mds:component"
trench geometry,1,mds:recipe,"mds:subcomponent, mds:component"
upscaling approach,1,mds:materials processing,"mds:component, mds:assembly, mds:subsystem"
wafer thickness,1,mds:result,mds:subcomponent
work of adhesion,1,mds:result,mds:subcomponent
